x,y,state
252.95,-515.7874999999999,TX
252.7,-515.6999999999999,TX
243.29999999999998,-510.19999999999993,TX
242.93749999999997,-509.82499999999993,TX
242.79999999999998,-509.29999999999995,TX
242.79999999999998,-499.09999999999997,TX
233.99999999999997,-494.09999999999997,TX
233.63749999999996,-493.725,TX
233.49999999999997,-493.2,TX
233.49999999999997,-482.4,TX
233.63749999999996,-481.875,TX
233.99999999999997,-481.5,TX
242.79999999999998,-476.5,TX
242.79999999999998,-466.9,TX
234.49999999999997,-462,TX
225.69999999999996,-467.2,TX
225.44999999999996,-467.2875,TX
225.19999999999996,-467.3,TX
224.91249999999997,-467.2875,TX
224.69999999999996,-467.2,TX
215.39999999999995,-461.7,TX
215.03749999999994,-461.32500000000005,TX
214.89999999999995,-460.8,TX
214.89999999999995,-450.6,TX
205.99999999999994,-445.6,TX
205.94999999999993,-445.58750000000003,TX
205.89999999999995,-445.5,TX
197.59999999999994,-450.2,TX
197.34999999999994,-450.2875,TX
197.09999999999994,-450.3,TX
196.84999999999994,-450.2875,TX
196.59999999999994,-450.2,TX
187.29999999999993,-444.9,TX
186.93749999999991,-444.525,TX
186.79999999999993,-444,TX
186.79999999999993,-433.3,TX
177.99999999999991,-428.3,TX
177.6374999999999,-427.92500000000007,TX
177.49999999999991,-427.40000000000003,TX
177.49999999999991,-416.6,TX
177.6374999999999,-416.07500000000005,TX
177.99999999999991,-415.70000000000005,TX
186.89999999999992,-410.6,TX
186.89999999999992,-401.40000000000003,TX
187.0374999999999,-400.875,TX
187.39999999999992,-400.50000000000006,TX
196.69999999999993,-395.20000000000005,TX
196.94999999999993,-395.1125,TX
197.19999999999993,-395.1,TX
197.44999999999993,-395.1125,TX
197.69999999999993,-395.20000000000005,TX
206.49999999999994,-400.20000000000005,TX
214.89999999999995,-395.40000000000003,TX
214.89999999999995,-385.20000000000005,TX
215.03749999999994,-384.67500000000007,TX
215.39999999999995,-384.30000000000007,TX
223.89999999999995,-379.4000000000001,TX
223.89999999999995,-369,TX
224.03749999999994,-368.475,TX
224.39999999999995,-368.1,TX
233.79999999999995,-362.6,TX
234.04999999999995,-362.5125,TX
234.29999999999995,-362.5,TX
234.58749999999995,-362.5125,TX
234.79999999999995,-362.6,TX
243.69999999999996,-367.90000000000003,TX
252.59999999999997,-362.6,TX
252.84999999999997,-362.5125,TX
253.09999999999997,-362.5,TX
253.38749999999996,-362.5125,TX
253.59999999999997,-362.6,TX
262.9,-368.1,TX
263.26249999999993,-368.475,TX
263.4,-369,TX
263.4,-379.2,TX
272.2,-384.2,TX
272.5625,-384.57499999999993,TX
272.7,-385.09999999999997,TX
272.7,-395.29999999999995,TX
280.8,-399.9,TX
289.40000000000003,-395,TX
289.65000000000003,-394.91249999999997,TX
289.90000000000003,-394.9,TX
290.15000000000003,-394.91249999999997,TX
290.40000000000003,-395,TX
299.70000000000005,-400.3,TX
300.0625,-400.67499999999995,TX
300.20000000000005,-401.2,TX
300.20000000000005,-411.09999999999997,TX
309.6,-416.59999999999997,TX
309.9625,-416.9749999999999,TX
310.1,-417.49999999999994,TX
310.1,-427.69999999999993,TX
318.8,-432.79999999999995,TX
319.1625,-433.17499999999995,TX
319.3,-433.69999999999993,TX
319.3,-444.49999999999994,TX
319.1625,-445.025,TX
318.8,-445.3999999999999,TX
310,-450.3999999999999,TX
310,-460.49999999999994,TX
309.86249999999995,-461.025,TX
309.5,-461.3999999999999,TX
300.7,-466.5999999999999,TX
300.7,-476.7999999999999,TX
300.5625,-477.32499999999993,TX
300.2,-477.6999999999999,TX
291.4,-482.6999999999999,TX
291.4,-492.89999999999986,TX
291.26249999999993,-493.42499999999984,TX
290.9,-493.79999999999984,TX
282,-498.79999999999984,TX
282,-509,TX
281.86249999999995,-509.525,TX
281.5,-509.9,TX
272.2,-515.4,TX
272,-515.75,TX
271.8,-515.8,TX
271.8,-515.8,TX
401,-285.7,TN
400.7125,-285.6875,TN
400.5,-285.59999999999997,TN
391.7,-280.4,TN
382.9,-285.59999999999997,TN
382.65,-285.6875,TN
382.4,-285.7,TN
382.15,-285.6875,TN
381.9,-285.59999999999997,TN
373,-280.4,TN
364.2,-285.59999999999997,TN
363.95,-285.6875,TN
363.7,-285.7,TN
363.4125,-285.6875,TN
363.2,-285.59999999999997,TN
353.9,-280.09999999999997,TN
353.5375,-279.725,TN
353.4,-279.2,TN
353.4,-269,TN
344.59999999999997,-264,TN
344.23749999999995,-263.625,TN
344.09999999999997,-263.1,TN
344.09999999999997,-252.3,TN
344.23749999999995,-251.775,TN
344.59999999999997,-251.4,TN
353.9,-246.1,TN
354.15,-246.0125,TN
354.4,-246,TN
354.65,-246.0125,TN
354.9,-246.1,TN
363.7,-251.1,TN
372.5,-246.1,TN
372.75,-246.0125,TN
373,-246,TN
373.25,-246.0125,TN
373.5,-246.1,TN
382.4,-251.1,TN
391.2,-246.1,TN
391.45,-246.0125,TN
391.7,-246,TN
391.95,-246.0125,TN
392.2,-246.1,TN
401,-251.1,TN
409.8,-246.1,TN
410.05,-246.0125,TN
410.3,-246,TN
410.55,-246.0125,TN
410.8,-246.1,TN
419.7,-251.1,TN
428.5,-246.1,TN
428.75,-246.0125,TN
429,-246,TN
429.25,-246.0125,TN
429.5,-246.1,TN
438.8,-251.4,TN
439.1625,-251.775,TN
439.3,-252.3,TN
439.3,-263.1,TN
439.1625,-263.625,TN
438.8,-264,TN
430,-269,TN
430,-279.2,TN
429.86249999999995,-279.725,TN
429.5,-280.09999999999997,TN
420.2,-285.59999999999997,TN
419.95,-285.6875,TN
419.7,-285.7,TN
419.45,-285.6875,TN
419.2,-285.59999999999997,TN
410.3,-280.4,TN
401.5,-285.59999999999997,TN
401.2875,-285.6875,TN
401,-285.7,TN
401,-285.7,TN
190.6,-146.9,SD
190.35,-146.8875,SD
190.1,-146.8,SD
180.7,-141.5,SD
180.3375,-141.125,SD
180.2,-140.60000000000002,SD
180.2,-129.8,SD
180.3375,-129.275,SD
180.7,-128.9,SD
190.1,-123.6,SD
190.35,-123.5125,SD
190.6,-123.5,SD
190.85,-123.5125,SD
191.1,-123.6,SD
200.4,-128.9,SD
200.76250000000002,-129.275,SD
200.9,-129.8,SD
200.9,-140.6,SD
200.76250000000002,-141.125,SD
200.4,-141.5,SD
191.10000000000002,-146.8,SD
190.8875,-146.85,SD
190.6,-146.9,SD
190.6,-146.9,SD
543.5,-381.5,SC
543.25,-381.4875,SC
543,-381.4,SC
533.7,-376.09999999999997,SC
533.3375000000001,-375.725,SC
533.2,-375.2,SC
533.2,-365,SC
524.4000000000001,-360,SC
524.0375000000001,-359.625,SC
523.9000000000001,-359.1,SC
523.9000000000001,-348.90000000000003,SC
515.0000000000001,-343.70000000000005,SC
514.6375000000002,-343.32500000000005,SC
514.5000000000001,-342.80000000000007,SC
514.5000000000001,-332,SC
514.6375000000002,-331.475,SC
515.0000000000001,-331.1,SC
524.4000000000001,-325.8,SC
524.6500000000001,-325.7125,SC
524.9000000000001,-325.7,SC
525.1500000000001,-325.7125,SC
525.4000000000001,-325.8,SC
534.2,-330.8,SC
543,-325.8,SC
543.25,-325.7125,SC
543.5,-325.7,SC
543.75,-325.7125,SC
544,-325.8,SC
553.3,-331.1,SC
553.6624999999999,-331.475,SC
553.8,-332,SC
553.8,-342.2,SC
562.1999999999999,-347.09999999999997,SC
570.9999999999999,-341.9,SC
571.2499999999999,-341.81249999999994,SC
571.4999999999999,-341.79999999999995,SC
571.7874999999999,-341.81249999999994,SC
571.9999999999999,-341.9,SC
581.2999999999998,-347.4,SC
581.6624999999998,-347.775,SC
581.7999999999998,-348.29999999999995,SC
581.7999999999998,-359.09999999999997,SC
581.6624999999998,-359.625,SC
581.2999999999998,-359.99999999999994,SC
572.4999999999999,-364.99999999999994,SC
572.4999999999999,-375.19999999999993,SC
572.3624999999998,-375.7249999999999,SC
